name,rank2021,count2021,rank2020,count2020,rank2019,count2019,rank2018,count2018,rank2017,count2017,rank2016,count2016,rank2015,count2015,rank2014,count2014 ,rank2013 ,count2013 ,rank2012 ,count2012 ,rank2011 ,count2011 ,rank2010 ,count2010 ,rank2009 ,count2009 ,rank2008 ,count2008 ,rank2007 ,count2007 ,rank2006 ,count2006 ,rank2005 ,count2005 ,rank2004 ,count2004 ,rank2003 ,count2003 ,rank2002 ,count2002 ,rank2001 ,count2001 ,rank2000 ,count2000 ,rank1999 ,count1999 ,rank1998 ,count1998 ,rank1997 ,count1997 ,rank1996 ,count1996 ,,
Leighlan,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],3908,4,[x],[x],[x],[x],4805,3,[x],[x],4678,3,[x],[x],4432,3,3589,4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leighland,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4810,3,[x],[x],3362,5,4685,3,[x],[x],4647,3,[x],[x],[x],[x],3158,5,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leighton,416,102,395,105,338,134,308,154,258,210,233,241,201,287,154,368,150,394,167,354,188,295,173,319,183,285,189,259,187,260,208,201,245,142,250,133,270,112,233,127,290,95,330,77,318,83,303,86,327,74,369,60,,
Leighton-James,[x],[x],[x],[x],2488,8,[x],[x],4812,3,2556,8,4747,3,2690,7,2216,9,2721,7,4647,3,4678,3,4527,3,3158,5,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leighton-Lee,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4647,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leilan,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],3004,6,3895,4,4685,3,[x],[x],[x],[x],4678,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leiland,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4023,4,[x],[x],4632,3,2403,8,3416,5,3300,5,[x],[x],2837,6,2775,6,2435,7,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leith,[x],[x],[x],[x],[x],[x],[x],[x],3996,4,[x],[x],[x],[x],[x],[x],[x],[x],3987,4,3830,4,4678,3,[x],[x],[x],[x],4333,3,2538,6,[x],[x],2578,5,2857,4,2636,4,[x],[x],[x],[x],[x],[x],[x],[x],2337,4,2863,3,,
Lekai,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4678,3,[x],[x],[x],[x],[x],[x],2870,5,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Lelan,[x],[x],[x],[x],[x],[x],4749,3,[x],[x],[x],[x],[x],[x],4632,3,1617,14,2458,8,3300,5,3865,4,2544,7,1706,12,2023,9,4052,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leland,1329,19,2404,8,1253,20,1235,21,968,31,801,40,586,63,455,87,314,136,440,90,528,66,378,107,354,110,255,170,234,182,458,70,1851,9,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leland-James,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4685,3,4805,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Lemar,4789,3,4608,3,4702,3,2693,7,2052,11,2027,11,3373,5,2964,6,1796,12,2270,9,1909,11,1801,12,2126,9,1828,11,2023,9,863,28,891,25,717,32,461,53,869,20,[x],[x],[x],[x],2943,3,2419,4,1761,6,2357,4,,
Lemari,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4333,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Lemarr,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],3467,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Lemi,4789,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Lemmy,3451,5,4608,3,[x],[x],[x],[x],3449,5,3079,6,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],3849,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Lemuel,2493,8,1548,15,1655,14,1533,16,2052,11,1804,13,1673,14,1819,12,1339,18,1756,13,1600,14,2199,9,2126,9,1828,11,1440,15,1643,11,3208,4,2070,7,2189,6,1799,7,2587,4,3036,3,1281,10,1485,8,[x],[x],2863,3,,
Len,4789,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4527,3,4432,3,4333,3,4052,3,[x],[x],3009,4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Lenard,[x],[x],3848,4,4702,3,[x],[x],3040,6,[x],[x],3908,4,3895,4,3315,5,3416,5,[x],[x],[x],[x],[x],[x],4432,3,[x],[x],4052,3,3849,3,[x],[x],3467,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leni,[x],[x],[x],[x],4702,3,4749,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],3830,4,3865,4,[x],[x],[x],[x],3589,4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Lennan,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4647,3,3332,5,4527,3,[x],[x],[x],[x],[x],[x],2754,5,3009,4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Lennard,2730,7,2404,8,3411,5,1991,11,1703,14,3478,5,2020,11,3362,5,2954,6,3987,4,2390,8,3865,4,[x],[x],3158,5,3095,5,[x],[x],[x],[x],1878,8,2189,6,[x],[x],3134,3,3036,3,[x],[x],[x],[x],[x],[x],[x],[x],,
Lennart,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4647,3,4678,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Lenni,3017,6,4608,3,2488,8,3412,5,2734,7,[x],[x],3908,4,2459,8,2403,8,2270,9,3830,4,3865,4,3744,4,2775,6,[x],[x],3385,4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Lennie,299,157,482,80,414,102,449,91,462,89,597,60,586,63,544,67,647,52,654,52,852,34,942,30,884,31,916,29,711,39,1280,16,1095,19,999,20,2189,6,2005,6,1746,7,1552,8,1505,8,2901,3,2859,3,2357,4,,
Lennix,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4023,4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Lennon,257,185,269,175,274,176,230,224,277,188,268,195,271,188,237,232,231,224,199,276,178,313,183,296,180,289,184,263,153,349,153,321,203,187,226,159,222,149,278,100,344,73,309,87,528,37,887,17,1052,13,2357,4,,
Lennox,308,152,381,112,388,111,406,105,409,107,477,85,543,70,509,76,570,62,682,49,732,43,660,48,724,41,746,39,742,37,764,33,891,25,938,22,945,20,691,28,728,24,881,18,1027,14,1642,7,1174,11,1458,8,,
Lenny,153,373,154,344,151,369,152,372,158,360,207,271,222,253,213,266,248,201,269,174,265,180,292,153,319,125,298,138,360,102,360,95,320,100,443,61,469,52,611,32,786,22,651,28,906,17,958,15,1761,6,1765,6,,
Lenny-George,4789,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Lenny-Joe,3990,4,[x],[x],[x],[x],[x],[x],[x],[x],4810,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Lenny-Lee,3990,4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Lenny-Ray,[x],[x],[x],[x],[x],[x],4749,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Lenon,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4432,3,3589,4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Lenox,4789,3,[x],[x],[x],[x],[x],[x],4812,3,[x],[x],[x],[x],3895,4,3822,4,[x],[x],4647,3,3865,4,[x],[x],[x],[x],[x],[x],4052,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leny,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4747,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leo,6,3465,6,3314,6,3637,6,3721,7,3781,13,3563,15,3468,16,3414,17,3264,20,3134,27,2664,36,2123,40,2011,40,1903,43,1697,33,2047,37,1723,57,1119,77,774,88,601,101,504,142,261,160,216,176,192,212,154,210,149,,
Leo-George,[x],[x],[x],[x],3013,6,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leo-Jai,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4685,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leo-James,1516,16,1723,13,1587,15,1132,24,1703,14,1704,14,1586,15,1630,14,2055,10,2117,10,1688,13,2629,7,4527,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leo-Jay,4789,3,3334,5,[x],[x],[x],[x],[x],[x],2804,7,2707,7,3362,5,2216,9,3416,5,[x],[x],[x],[x],[x],[x],[x],[x],4333,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leo-John,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4023,4,4747,3,3895,4,[x],[x],4805,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leo-Jordan,[x],[x],[x],[x],4702,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leo-Luke,[x],[x],[x],[x],[x],[x],[x],[x],4812,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leo-Riley,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4685,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leo-Thomas,[x],[x],[x],[x],[x],[x],4749,3,4812,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leofric,4789,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leom,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],2943,3,[x],[x],[x],[x],[x],[x],,
Leon,101,590,93,620,93,662,97,655,98,669,92,737,85,795,85,765,75,837,72,918,62,1069,60,1204,60,1155,62,1138,74,907,76,884,75,914,76,856,74,824,73,790,74,795,80,662,87,599,96,564,104,523,105,474,,
Leon-James,[x],[x],[x],[x],[x],[x],[x],[x],3996,4,3478,5,[x],[x],4632,3,[x],[x],4805,3,[x],[x],4678,3,[x],[x],4432,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leon-Junior,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4527,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leonard,222,233,228,213,217,235,244,213,247,216,249,215,255,201,264,185,318,134,343,128,361,115,413,92,374,105,401,93,441,78,427,77,502,55,459,58,473,51,431,52,524,37,543,35,507,39,554,33,538,33,472,39,,
Leonardas,2301,9,2404,8,1986,11,3412,5,4812,3,4810,3,2707,7,3362,5,[x],[x],[x],[x],[x],[x],[x],[x],4527,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leonardo,116,498,128,428,116,494,119,504,136,433,132,453,160,366,178,315,196,283,230,225,215,228,256,184,277,156,289,145,264,152,279,129,313,102,348,86,453,54,449,49,452,46,515,38,454,47,376,60,759,21,1458,8,,
Leonards,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4632,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leonas,1984,11,2404,8,2266,9,2259,9,2734,7,4810,3,3373,5,4632,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leondre,[x],[x],[x],[x],[x],[x],3011,6,3996,4,[x],[x],4747,3,3362,5,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leone,4789,3,2404,8,2104,10,3011,6,2324,9,4023,4,3908,4,[x],[x],[x],[x],[x],[x],3830,4,3865,4,4527,3,4432,3,[x],[x],4052,3,[x],[x],2304,6,[x],[x],2254,5,3134,3,2142,5,2425,4,[x],[x],[x],[x],[x],[x],,
Leonel,3017,6,2404,8,2104,10,3959,4,2172,10,1627,15,2150,10,2079,10,2403,8,1756,13,1788,12,2199,9,2837,6,1953,10,4333,3,2870,5,[x],[x],[x],[x],3467,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leonell,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4685,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leonhard,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4805,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leonid,3451,5,2076,10,3013,6,4749,3,4812,3,4810,3,3004,6,[x],[x],4685,3,3416,5,[x],[x],4678,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leonidas,431,97,448,90,518,75,549,68,517,76,585,62,571,65,670,50,621,55,682,49,852,34,854,34,724,41,894,30,952,26,1545,12,2754,5,2304,6,1962,7,2254,5,1746,7,2142,5,2943,3,2074,5,2859,3,[x],[x],,
Leonidasz,[x],[x],[x],[x],4702,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leonides,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4805,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leonis,[x],[x],3848,4,[x],[x],[x],[x],3996,4,4810,3,[x],[x],3895,4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leonit,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4052,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leopold,1448,17,993,28,974,29,932,31,1097,26,974,30,977,30,1117,24,2216,9,1589,15,1303,19,2400,8,1302,18,1596,13,1756,11,2870,5,3849,3,2578,5,[x],[x],2636,4,2587,4,2501,4,2425,4,2419,4,2859,3,2863,3,,
Leopoldo,[x],[x],[x],[x],4702,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leos,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4747,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leotrim,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4678,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],3651,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leron,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4678,3,3744,4,[x],[x],[x],[x],3385,4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Lerone,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],3849,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leroy,1595,15,1935,11,1316,19,1533,16,1398,18,1431,18,1380,18,1178,22,1539,15,1507,16,1087,24,1483,16,1175,21,1024,25,987,25,885,27,827,28,841,25,945,20,993,17,883,19,624,29,1082,13,1110,12,914,16,853,17,,
Les,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],2863,3,,
Lesedi,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4432,3,[x],[x],[x],[x],3849,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Lesley,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4805,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],3849,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leslie,3990,4,4608,3,[x],[x],3011,6,2734,7,4023,4,2707,7,3362,5,2055,10,3039,6,2039,10,2036,10,2126,9,2097,9,2211,8,1469,13,1014,21,1222,15,1092,16,1077,15,1027,15,953,16,1199,11,887,17,874,17,552,31,,
Lester,3990,4,2960,6,[x],[x],2445,8,[x],[x],3079,6,4747,3,4632,3,3822,4,2270,9,2892,6,2199,9,3227,5,2775,6,2741,6,2282,7,[x],[x],2578,5,1410,11,2254,5,2220,5,1552,8,1664,7,2074,5,1578,7,2020,5,,
Leto,4789,3,[x],[x],[x],[x],[x],[x],[x],[x],3079,6,[x],[x],3895,4,[x],[x],3039,6,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Letrell,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4678,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leuan,[x],[x],[x],[x],[x],[x],3011,6,4812,3,4023,4,[x],[x],2964,6,2954,6,2458,8,[x],[x],[x],[x],3227,5,3687,4,4333,3,2870,5,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leul,[x],[x],2960,6,[x],[x],[x],[x],[x],[x],[x],[x],4747,3,[x],[x],[x],[x],4805,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leutrim,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],2425,4,[x],[x],[x],[x],[x],[x],,
Lev,1782,13,1635,14,1439,17,1324,19,1398,18,1570,16,1902,12,1370,18,2055,10,3416,5,2194,9,3332,5,2837,6,2097,9,4333,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],2901,3,[x],[x],[x],[x],,
Levan,4789,3,3848,4,3411,5,[x],[x],[x],[x],4810,3,[x],[x],[x],[x],4685,3,[x],[x],2892,6,4678,3,[x],[x],4432,3,3589,4,4052,3,[x],[x],[x],[x],3467,3,2636,4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Levelle,4789,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Leven,[x],[x],[x],[x],[x],[x],3412,5,3996,4,[x],[x],4747,3,[x],[x],3822,4,[x],[x],3830,4,[x],[x],[x],[x],4432,3,[x],[x],4052,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
